Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Ільєнко,Лукʼян,Петрович,Чоловіча,11-03-1994,Науковець,село Зіньків,"провулок Персикова, буд. 104 кв. 0, Черкаси, 14586",+380 87 068-82-29,hresihor@example.net
Євтушенко,Ілля,Ігорович,Чоловіча,06-09-1965,Мовознавець,хутір Лохвиця,"набережна Андрія Музичка, буд. 4 кв. 560, Нова Одеса, 87886",+380 68 590 11 06,vadymchubai@example.org
Радченко,Григорій,Ігорович,Чоловіча,05-02-2000,Маркетолог,село Моспине,"набережна Басейна, буд. 38, Нова Одеса, 67083",042 840 81 54,marianasirko@example.com
Дуплій,Альберт,Олександрович,Чоловіча,25-12-1995,Публіцист,місто Горішні Плавні,"вулиця Привокзальна, буд. 9 кв. 6, Старий Самбір, 51699",080 54 64,tarasazhazha@example.com
Вернигора,Аліна,Арсенівна,Жіноча,01-08-1960,Сценарист,селище Міусинськ,"набережна Кипарисний 3-й, буд. 773 кв. 6, Снігурівка, 48121",060 310 90 83,banderafrants@example.com
Чайка,Ольга,Семенівна,Жіноча,11-06-1964,Сценарист,село Чортків,"шосе Діхтієвського Віктора, буд. 587 кв. 6, Арциз, 08162",023-23-35,paliipriska@example.org
Чумаченко,Данило,Володимирович,Чоловіча,12-07-1966,Співак,село Кременчук,"вулиця Каберне, буд. 36, Бахмач, 13838",+380 34 795-57-46,emiliianikoliuk@example.com
Ющенко,Тетяна,Борисівна,Жіноча,24-07-1967,Дантист,село Слов'янськ,"узвіз Стовпова, буд. 435 кв. 947, Сквира, 18859",094 170-69-61,jshablii@example.net
Журба,Ліза,Володимирівна,Жіноча,04-11-1951,Юрист,село Вараш,"сквер Проектуєма, буд. 8 кв. 651, Лутугине, 94439",060 378-63-89,vredko@example.net
Щорс,Яків,Володимирович,Чоловіча,28-12-2003,Менеджер,село Перещепине,"шосе Малинова, буд. 434, Виноградів, 01179",+380 34 285 59 64,adamovsiienko@example.org
Данчук,Дарина,Семенівна,Жіноча,14-08-1960,Гінеколог,хутір Приморськ,"узвіз Сьома, буд. 122 кв. 218, Голубівка, 46737",006 540 10 15,opanasudovenko@example.net
Зінченко,Симон,Іванович,Чоловіча,21-10-1971,Перекладач,місто Василівка,"площа 7-ма Лінія Дачі Ковалевського, буд. 186, Сокаль, 88086",001 459 82 69,fpushkar@example.org
Гупало,Степан,Арсенович,Чоловіча,25-03-1997,Астрофізик,селище Конотоп,"вулиця Романтиків, буд. 6 кв. 114, Мостиська, 73305",+380 48 749 53 59,priskamakarenko@example.org
Корж,Степан,Арсенович,Чоловіча,23-03-1952,Сантехнік,село Біла Церква,"вулиця Айвазовського, буд. 96 кв. 44, Гребінка, 87760",451 15 01,borys30@example.org
Ажажа,Остап,Андрійович,Чоловіча,27-09-1950,Науковець,селище Любомль,"узвіз Балківська, буд. 095 кв. 16, Володимир-Волинський, 46987",090 042-76-29,eshchors@example.net
Дашенко,Богуслава,Семенівна,Жіноча,20-06-1941,Кур'єр,село Сокиряни,"узвіз Західний 2-й, буд. 432 кв. 290, Лисичанськ, 41970",050 683 59 20,avreliidotsenko@example.org
Дейнека,Франц,Дмитрович,Чоловіча,10-01-1957,Бібліограф,село Буринь,"шосе Ф. Пішеніна, буд. 6, Барвінкове, 42691",+380 16 552-47-55,nataliiachmil@example.net
Авдєєнко,Давид,Олександрович,Чоловіча,26-05-1952,Мовознавець,місто Новодружеськ,"шосе Виноградна 3-тя, буд. 2 кв. 1, Чернігів, 86316",574 44 08,iosypvermenych@example.org
Іваничук,Алла,Дмитрівна,Жіноча,01-10-1977,Музикант,село Мелітополь,"провулок Херсонський, буд. 774, Старобільськ, 45710",818-85-95,lemeshkoievhen@example.org
Бабак,Лілія,Михайлівна,Жіноча,04-01-1950,Кухар,село Міусинськ,"набережна Дністровська, буд. 133 кв. 3, Кам'янка-Дніпровська, 92759",+380 21 156-53-04,semenchenkoedyta@example.org
Годунок,Степан,Олександрович,Чоловіча,28-01-2006,Електрослюсар,село Буринь,"площа Івана Луценка, буд. 0, Токмак, 92536",+380 71 179-30-46,kovpaksolomon@example.net
Носенко,Гліб,Сергійович,Чоловіча,24-11-1940,Біолог,місто Дубляни,"шосе Басейний 4-й, буд. 1, Красногорівка, 81664",082 126-13-83,isaievychtrokhym@example.org
Єрченко,Венедикт,Васильович,Чоловіча,06-01-1991,Математик,селище Гнівань,"набережна Лінія 27-ма, буд. 7 кв. 2, Немирів, 02337",+380 (43) 784-16-26,sheremetalukian@example.com
Єрмоленко,Емілія,Володимирівна,Жіноча,01-12-1979,Інженер,місто Болград,"шосе 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 2 кв. 98, Вознесенськ, 41655",+380 99 009-68-22,ybabiak@example.net
Гаврюшенко,Марина,Семенівна,Жіноча,19-11-1977,Перекладач,місто Галич,"узвіз Михайла Божія, буд. 55, Вараш, 14821",480 76 91,varvara73@example.org
Василевич,Алла,Максимівна,Жіноча,04-04-1969,Патологоанатом,хутір Зугрес,"набережна Лінія 41-ша, буд. 31, Горлівка, 31555",136-91-09,demianchukkhrystyna@example.net
Зінкевич,Мирон,Григорійович,Чоловіча,13-08-2001,Каскадер,село Нововолинськ,"провулок Родоканакі, буд. 56, Лозова, 03880",+380 24 070-79-24,nadiiabazylevych@example.org
Шухевич,Ліза,Борисівна,Жіноча,06-03-1959,Клоун,місто Волноваха,"провулок Орликова, буд. 6, Іршава, 69641",074 728-10-35,levkoieshchenko@example.net
Бабій,Марина,Іванівна,Жіноча,10-02-1985,Музичний редактор,село Горохів,"узвіз Томатна, буд. 573 кв. 05, Мена, 72856",+380 66 619-19-88,anzhelaandriishyn@example.com
Панчук,Орхип,Дмитрович,Чоловіча,24-03-1985,Машиніст,село Хрустальний,"шосе Ганса Германа, буд. 5, Молочанськ, 59263",496 04 89,zoriankonoplia@example.com
Негода,Йосип,Арсенович,Чоловіча,29-03-1972,Євнух,хутір Сторожинець,"провулок Овідіопольський, буд. 176, Трускавець, 39649",+380 (10) 730-35-25,vitalii81@example.org
Лазаренко,Ірина,Євгенівна,Жіноча,18-08-1975,Футболіст,хутір Приморськ,"проспект Азербайджан, буд. 3, Красногорівка, 83728",+380 (81) 299-86-61,chumakmakar@example.net
Лагода,Соломія,Євгенівна,Жіноча,06-02-1948,Фотограф,хутір Богуслав,"проспект Астрономічний, буд. 68, Сватове, 09290",008 69 82,tytarenkobohdan@example.org
Титаренко,Марія,Євгенівна,Жіноча,20-06-1950,Бухгалтер,село Кальміуське,"парк Тупиковий, буд. 8 кв. 241, Почаїв, 04808",615-56-04,daronets@example.com
Чміль,Опанас,Арсенович,Чоловіча,30-03-1940,Електрик,хутір Ясинувата,"вулиця Кустанайський 2-й, буд. 46 кв. 23, Заліщики, 47634",486 63 96,venhrynovychmakar@example.net
Зайченко,Борис,Романович,Чоловіча,26-10-2004,Бібліотекар,село Конотоп,"парк Юннатів 1-й, буд. 89, Харцизьк, 89999",+380 29 204-89-15,danylo10@example.org
Кармалюк,Орина,Сергіївна,Жіноча,09-07-1986,Адвокат,селище Новий Буг,"вулиця Лиманчик 2-й Лінія 2-га, буд. 6 кв. 3, Новий Розділ, 31928",+380 (66) 986-19-47,zhuchenkofrants@example.com
Бабич,Михайло,Євгенович,Чоловіча,20-04-1959,Доцент,село Роздільна,"сквер Фестивальний, буд. 660 кв. 624, Угнів, 92116",+380 17 169-26-55,nestor17@example.org
Гречко,Валентин,Романович,Чоловіча,04-05-1975,Паблік рилейшнз,село Ананьїв,"сквер Матроська Слободка , буд. 08, Гайворон, 22232",194 61 09,iaroslava49@example.org
Рябовіл,Анжела,Ігорівна,Жіноча,05-01-1948,Фермер,місто Покров,"провулок Український 2-й, буд. 228, Кілія, 71560",872-18-12,stanislavchalenko@example.org
Лупій,Ада,Олександрівна,Жіноча,19-02-1977,Етнограф,місто Боково-Хрустальне,"узвіз Джутовий, буд. 57 кв. 01, Суми, 51390",+380 71 714-26-34,stepan38@example.com
Москаль,Венедикт,Андрійович,Чоловіча,19-07-1947,Бібліотекар,селище Тараща,"вулиця Михайла Врубеля, буд. 1, Богуслав, 50281",+380 07 994 80 17,tovstukhamykhailo@example.net
Дрозденко,Омелян,Анатолійович,Чоловіча,21-05-1988,Ветеринар,місто Моспине,"проспект Коцюбинського, буд. 9 кв. 39, Авдіївка, 48741",+380 79 639 67 38,lbashtan@example.com
Вахній,Богданна,Петрівна,Жіноча,18-04-2008,Фізик,селище Шепетівка,"шосе Йозефа Прибіка, буд. 68, Гуляйполе, 32809",+380 06 100 26 42,viktoriia79@example.org
Дубенко,Аркадій,Семенович,Чоловіча,31-08-1986,Кушнір,село Луцьк,"узвіз Прирейкова, буд. 0, Бориспіль, 55581",+380 (27) 213-53-59,panteleimonakymenko@example.net
Юрченко,Олекса,Володимирович,Чоловіча,08-01-1948,Астроном,хутір Белз,"площа Полтавська, буд. 379, Христинівка, 06944",+380 44 151-23-80,vnestaiko@example.com
Черінько,Альберт,Дмитрович,Чоловіча,21-04-2004,Астроном,місто Бучач,"площа Лазурний 2-й, буд. 808, Тячів, 99765",091 613-96-34,valenkohryhorii@example.net
Цушко,Святослав,Анатолійович,Чоловіча,25-11-1960,Музичний редактор,село Ічня,"парк Китобійна, буд. 678 кв. 65, Саки, 98506",798 48 50,semen63@example.com
Дробаха,Марʼяна,Володимирівна,Жіноча,11-05-1969,Клоун,хутір Горлівка,"провулок Гоголя, буд. 9, Дебальцеве, 49227",+380 98 692-50-10,eshcherban@example.com
Свистун,Максим,Семенович,Чоловіча,14-08-1999,Машиніст,хутір Амвросіївка,"провулок Центральна, буд. 182, Харків, 68793",+380 (47) 650-95-27,oleksandrfareniuk@example.org
Тесля,Михайло,Юрійович,Чоловіча,01-09-1996,Професор,селище Світловодськ,"проспект Неплія, буд. 2, Чорнобиль, 55966",+380 07 606 77 77,tereshchukoksana@example.com
Бабенко,Ольга,Семенівна,Жіноча,28-11-1975,Ді-джей,село Молочанськ,"парк Валерія Лобановського, буд. 8 кв. 4, Рубіжне, 01541",548 14 29,ruslan84@example.org
Макогон,Лариса,Олександрівна,Жіноча,14-12-1947,Ботанік,місто Євпаторія,"площа Вапняний 2-й, буд. 72, Шепетівка, 45617",+380 65 808-03-40,shynkarenkolarysa@example.com
Скорик,Теодор,Дмитрович,Чоловіча,07-06-1951,Етнограф,селище Зборів,"парк Лінія 39-та, буд. 67 кв. 647, Борзна, 35608",+380 (63) 201-25-69,artem85@example.net
Лазаренко,Дарина,Сергіївна,Жіноча,10-11-1968,Етнограф,селище Кальміуське,"площа Суднобудівний, буд. 008 кв. 265, Скалат, 72993",+380 89 035 67 15,priska25@example.org
Бабенко,Ілля,Ігорович,Чоловіча,31-01-1977,Живописець,село Київ,"сквер Прохоровський, буд. 18 кв. 75, Бурштин, 81140",207-75-83,danylo49@example.com
Карась,Ліза,Євгенівна,Жіноча,29-04-1942,Локсмайстер,село Дубляни,"провулок Саймона Літмана, буд. 27, Володимир-Волинський, 44418",+380 77 466-32-95,iaryna42@example.com
Ющенко,Устим,Семенович,Чоловіча,19-06-1951,Слідчий,село Могилів-Подільський,"вулиця Об'їзна дорога, буд. 615 кв. 82, Очаків, 27555",270-03-78,ivan10@example.com
Данчук,Орест,Анатолійович,Чоловіча,19-12-1982,Бізнесмен,село Лисичанськ,"сквер Мелітопольська, буд. 4, Шумськ, 40705",050 659 80 02,ishvedchenko@example.org
Габелко,Ярина,Григорівна,Жіноча,03-02-1985,Геофізик,хутір Долина,"сквер Цебриківська, буд. 7 кв. 0, Остер, 49873",+380 80 494 30 17,leon33@example.com
Жученко,Тарас,Юрійович,Чоловіча,07-09-1990,Кінорежисер,селище Торецьк,"узвіз Дружний, буд. 122, Коростень, 56204",+380 23 726-01-59,hbabych@example.org
Хоменко,Соломія,Григорівна,Жіноча,05-07-1960,Професор,хутір Березне,"шосе Джутовий, буд. 50, Устилуг, 26917",+380 88 784 21 43,leontiipiddubna@example.net
Артимишин,Лариса,Григорівна,Жіноча,29-09-2000,Графік,село Чуднів,"провулок Сільськогосподарський, буд. 722 кв. 19, Трускавець, 57093",036 452-13-85,sviatoslava01@example.net
Захарченко,Ліза,Іванівна,Жіноча,06-11-1964,Акушер,хутір Южне,"шосе Клинова, буд. 76, Южне, 60638",+380 (96) 641-57-16,khrystynalesyk@example.org
Нестеренко,Валентин,Юрійович,Чоловіча,14-05-1940,Археолог,село Білгород-Дністровський,"узвіз Канатний, буд. 77 кв. 44, Городище, 79147",076 635 98 42,rdurdynets@example.com
Охріменко,Ірина,Михайлівна,Жіноча,01-04-1967,Модельєр,хутір Єнакієве,"узвіз Чернігівський, буд. 36 кв. 1, Скадовськ, 43470",+380 (02) 453-13-76,omelianstus@example.com
Вдовиченко,Богодар,Володимирович,Чоловіча,16-03-1939,Епідеміолог,хутір Красилів,"парк Танкістів, буд. 641 кв. 3, Любомль, 60967",+380 (49) 202-91-76,vnalyvaiko@example.com
Пилипенко,Борислав,Олегович,Чоловіча,29-01-1983,Астрофізик,місто Ківерці,"площа Студентський, буд. 90, Київ, 44682",081 900-70-75,marianashtepa@example.com
Гавриленко,Орина,Максимівна,Жіноча,25-11-1986,Астронавт,місто Миргород,"шосе Садова 2-га, буд. 5 кв. 6, Городок, 87055",808 11 09,dmytrobabiuk@example.org
Слюсар,Варфоломій,Андрійович,Чоловіча,26-10-1980,Візажист,селище Комарно,"вулиця Трибуни героїв, буд. 389 кв. 758, Вуглегірськ, 51267",937-54-98,marusia31@example.com
Андріїшин,Демид,Анатолійович,Чоловіча,30-03-2002,Диригент,село Таврійськ,"вулиця Машинобудівний, буд. 913, Отаманівка, 16789",+380 98 195-89-97,leopoldkybkalo@example.org
Хорішко,Едуард,Сергійович,Чоловіча,28-06-2005,Золотар,місто Бучач,"площа Князя Володимира Великого , буд. 36 кв. 321, Вознесенівка, 41199",+380 06 497 11 81,iaremashcherban@example.com
Гоголь,Алевтин,Юрійович,Чоловіча,02-05-1992,Флорист,село Торецьк,"провулок Ольги Благовидової, буд. 521 кв. 183, Новодружеськ, 31141",894 55 27,spasopanasenko@example.com
Алексеєнко,Клавдія,Юріївна,Жіноча,02-02-1954,Професор,селище Куп'янськ,"набережна Аеропортівський 4-й, буд. 078, Білгород-Дністровський, 41706",040 072-67-12,dmytrokybkalo@example.com
Василевич,Емілія,Романівна,Жіноча,01-04-2005,Бухгалтер,селище Дубровиця,"сквер Чернігівська, буд. 9 кв. 6, Голубівка, 72453",747 74 07,liliiababychenko@example.net
Супруненко,Болеслав,Олегович,Чоловіча,12-05-1957,Музикознавець,селище Копичинці,"парк Світлий, буд. 987 кв. 29, Калуш, 92236",+380 29 409-51-95,spas34@example.com
Тарасенко,Клавдія,Олександрівна,Жіноча,24-01-1952,Реабілітолог,село Очаків,"набережна Панченка, буд. 0, Глухів, 36758",+380 19 486-00-51,iarynahuz@example.com
Петрик,Алевтин,Євгенович,Чоловіча,23-08-1974,Дерун,хутір Золотоноша,"шосе Скидановський узвіз, буд. 92 кв. 70, Заставна, 44540",+380 76 451-25-33,giefymenko@example.net
Титаренко,Кирило,Михайлович,Чоловіча,24-07-1964,Медик,село Сокиряни,"проспект Івана Франка, буд. 80 кв. 4, Арциз, 36401",+380 53 033-34-46,prokhir83@example.org
Юрчук,Любов,Олександрівна,Жіноча,28-01-1973,Правник,хутір Шостка,"провулок Волтона, буд. 12 кв. 152, Малин, 57630",+380 26 454-70-81,wieromenko@example.org
Бебешко,Миколай,Володимирович,Чоловіча,09-02-1983,Няня,селище Чоп,"сквер Сталепрокатна, буд. 08, Коломия, 17791",062 937-62-72,rtkach@example.com
Бабич,Аліна,Романівна,Жіноча,14-12-1959,Реабілітолог,селище Костопіль,"площа Акордна, буд. 21, Славута, 95412",025 593 74 56,xzarudna@example.org
Бабиченко,Валентин,Олександрович,Чоловіча,01-01-1969,Бібліограф,місто Тисмениця,"узвіз Михайла Слабченка, буд. 5 кв. 400, Городок, 48855",+380 70 713 02 81,sofiiapiatachenko@example.org
Рева,Емілія,Максимівна,Жіноча,11-08-1950,Підприємець,селище Жданівка,"вулиця Івана Франка, буд. 101, Рогатин, 86183",061 987 98 06,mykhailo05@example.org
Вакуленко,Амвросій,Максимович,Чоловіча,15-04-1977,Етнограф,хутір Семенівка,"шосе Академіка Сахарова, буд. 68 кв. 032, Ржищів, 60675",+380 64 728 59 90,vvasylevych@example.org
Забіла,Марко,Максимович,Чоловіча,05-08-2001,Флорист,селище Сіверськ,"парк Шкільний, буд. 07 кв. 3, Старий Самбір, 18544",067 189 59 64,habelkoiaroslav@example.net
Бабариченко,Юстина,Анатоліївна,Жіноча,09-09-1996,Модель,хутір Великі Мости,"провулок Леопольда Ященка, буд. 08 кв. 25, Роздільна, 43603",+380 23 420-29-40,qandreiko@example.org
Василечко,Феофан,Олегович,Чоловіча,02-05-1944,Фізик,село Джанкой,"узвіз Моторний 1-й, буд. 62 кв. 38, Погребище, 95280",+380 67 140-74-05,tsiutsiuramykolai@example.org
Щорс,Розалія,Романівна,Жіноча,17-10-1961,Лікар,селище Вільногірськ,"узвіз Українських Героїв, буд. 49, Апостолове, 70536",955-03-87,illia75@example.org
Їжак,Владислав,Юрійович,Чоловіча,24-02-1998,Антрополог,село Знам'янка,"вулиця Навігаційний, буд. 5, Зміїв, 84662",+380 09 344-54-75,dankevychleon@example.org
Чміль,Еріка,Романівна,Жіноча,29-12-1996,Складальник,село Бахмач,"вулиця Лиманчик 2-й Лінія 2-га, буд. 9 кв. 10, Інкерман, 18365",+380 43 848-32-91,ivan16@example.org
Андріїшина,Марія,Борисівна,Жіноча,21-04-1996,Акушер,село Гуляйполе,"парк Нафтовиків 1-й, буд. 3 кв. 11, Новодністровськ, 15090",391-75-58,varfolomiibabak@example.com
Алексійчук,Людмила,Іванівна,Жіноча,27-01-1940,Скульптор,селище Балта,"провулок Пересипська 3-тя, буд. 864, Андрушівка, 41396",136 10 50,iashchukielysaveta@example.org
Девдюк,Едуард,Борисович,Чоловіча,18-04-1988,Піаніст,місто Новодністровськ,"набережна Естафетна, буд. 2 кв. 25, Заліщики, 41841",894 96 50,abazylevych@example.org
Лазаренко,Борис,Анатолійович,Чоловіча,29-03-1964,Геофізик,місто Лубни,"узвіз Тепличний 2-й, буд. 3, Южноукраїнськ, 82583",011 770 91 28,boleslav65@example.com
Засядько,Трохим,Максимович,Чоловіча,08-01-1949,Золотар,село Ямпіль,"проспект Хімічний 3-й, буд. 82 кв. 463, Кобеляки, 60273",062 772 89 10,cmykytiuk@example.net
Сич,Леонтій,Сергійович,Чоловіча,19-07-2001,Шериф,хутір Умань,"шосе Військовий узвіз, буд. 9 кв. 9, Бобровиця, 66762",+380 (88) 335-83-02,ivan97@example.com
Чередник,Ольга,Василівна,Жіноча,12-06-1996,Електротехнік,селище Білогірськ,"площа Морський, буд. 88 кв. 92, Корюківка, 07277",284 44 32,volodymyrashapoval@example.org
Андрійович,Онисим,Сергійович,Чоловіча,16-03-1975,Гицель,село Зимогір'я,"шосе Дорбуду, буд. 497, Часів Яр, 46905",492 40 72,bvlasenko@example.com
Швачко,Ірена,Михайлівна,Жіноча,24-09-2008,Золотар,місто Іловайськ,"парк Парашутний, буд. 54 кв. 080, Берегове, 28151",+380 (70) 084-84-65,orysia81@example.net
Ковалюк,Валентина,Юріївна,Жіноча,04-10-1980,Гінеколог,місто Долинська,"парк Кафедральна, буд. 8, Миронівка, 54866",368-60-09,levko14@example.net
Алексійчук,Варвара,Олександрівна,Жіноча,27-01-1981,Лікар,хутір Вараш,"проспект Амундсена, 1-й, буд. 434 кв. 8, Вуглегірськ, 92509",+380 70 362-25-12,okseniia72@example.com
Величко,Леопольд,Дмитрович,Чоловіча,29-08-1994,Драматург,село Лиман,"площа Восьмого березня 8-й, буд. 9 кв. 1, Хоростків, 82995",+380 (93) 034-82-69,iiakovenko@example.net
Романець,Василина,Олегівна,Жіноча,05-11-1986,Флорист,село Белз,"шосе Лазурний 6-й, буд. 40, Курахове, 88438",+380 95 759-16-53,iesypenkovarvara@example.com
Гавришкевич,Азар,Олегович,Чоловіча,16-06-1943,Ґрунтознавець,хутір Курахове,"набережна Безіменний, буд. 2 кв. 9, Білопілля, 83328",+380 31 456-59-28,iakivdanylchuk@example.net
Дашенко,Пармен,Семенович,Чоловіча,17-06-1998,Фармацевт,селище Дружківка,"провулок Лінія 41-ша, буд. 65, Вінниця, 27933",+380 93 271-92-53,okhrimredko@example.com
Ващенко-Захарченко,Андрій,Анатолійович,Чоловіча,17-01-1997,Маркетолог,місто Іллінці,"набережна Чернігівський, буд. 03 кв. 45, Ізюм, 77704",+380 (80) 136-16-62,myroslavisaienko@example.net
Єресько,Альберт,Дмитрович,Чоловіча,15-10-2008,Астронавт,село Ужгород,"узвіз Раїси Сергієнко, буд. 308, Славутич, 14044",042 400 72 37,viacheslav61@example.com
Гуцуляк,Трохим,Семенович,Чоловіча,21-07-1982,Редактор,селище Сторожинець,"вулиця Прохоровський, буд. 88 кв. 3, Гнівань, 53442",369-77-94,trokhym78@example.net
Чміль,Альберт,Михайлович,Чоловіча,05-07-1953,Мовознавець,хутір Горохів,"сквер Тираспольська, буд. 606 кв. 8, Монастириська, 14676",+380 72 545 39 66,oryna56@example.net
Абрагамовська,Юхим,Семенович,Чоловіча,26-08-1946,Вчитель,хутір Бахчисарай,"проспект Красний, буд. 29 кв. 279, Чернігів, 50553",+380 67 237-03-61,spas79@example.net
Василевич,Світлана,Арсенівна,Жіноча,11-07-1962,Інженер,місто Яготин,"парк Новоберегова, буд. 348, Новомиргород, 84583",717 96 80,andrusenkomaksym@example.org
Носаченко,Микита,Юрійович,Чоловіча,19-07-1945,Пекар,місто Дрогобич,"вулиця 12-та ст. Великого Фонтану пляж, буд. 1 кв. 82, Христинівка, 20368",+380 11 831-78-64,hreszorian@example.net
Павленко,Ігор,Сергійович,Чоловіча,02-10-1994,Кінорежисер,селище Голубівка,"вулиця Авангардна, буд. 3, Херсон, 72110",099 442-51-65,mykolai40@example.net
Архипенко,Єфрем,Борисович,Чоловіча,17-01-1973,Гірник,хутір Корець,"узвіз Скидановська, буд. 75 кв. 501, Долинська, 58499",037 04 73,kyrylo88@example.org
Заєць,Камілла,Максимівна,Жіноча,18-01-1988,Соціолог,село Олевськ,"провулок Лиманчик 2-й Лінія 1-ша, буд. 433 кв. 42, Багачеве, 80099",+380 (14) 350-83-88,prokhir25@example.org
Рябченко,Охрім,Григорійович,Чоловіча,26-12-1964,Співак,село Жовті Води,"узвіз Кустанайський 2-й, буд. 348 кв. 3, Новий Буг, 99446",+380 64 834 58 81,serhiibaranets@example.net
Андріїшин,Богдан,Борисович,Чоловіча,16-06-1962,Науковець,селище Тячів,"вулиця Рози вітрів, буд. 81 кв. 3, Сновськ, 56041",+380 (62) 630-34-23,liashkoievhen@example.net
Дуплій,Тимофій,Дмитрович,Чоловіча,18-07-2001,Пекар,хутір Борщів,"шосе Радісний, буд. 8, Краматорськ, 99088",+380 04 726 07 27,overtyporokh@example.com
Артюшенко,Розалія,Сергіївна,Жіноча,05-05-2000,Круп'є,селище Ізяслав,"узвіз Строганов міст, буд. 6 кв. 734, Конотоп, 91082",+380 34 200-01-30,vira89@example.org
Чумаченко,Мирослав,Олегович,Чоловіча,19-11-2000,Патологоанатом,місто Рогатин,"набережна Французький, буд. 1 кв. 6, Тульчин, 74333",628 54 00,atamanchukheorhii@example.net
Андрієвич,Марія,Іванівна,Жіноча,16-02-1945,Швачка,хутір Дунаївці,"проспект Каштанова, буд. 67 кв. 62, Коломия, 88600",+380 62 631-64-70,aronetsvladyslav@example.com
Сич,Мартин,Євгенович,Чоловіча,07-05-1975,Кур'єр,хутір Сновськ,"узвіз Аркадіївський, буд. 487, Сокаль, 14616",+380 (57) 098-71-17,korbutleon@example.net
Вахній,Августин,Михайлович,Чоловіча,04-10-1949,Музикознавець,місто Почаїв,"проспект Різовська, буд. 439, Шаргород, 54150",+380 26 495-75-48,omatviienko@example.net
Сірченко,Леон,Ігорович,Чоловіча,21-12-1993,Ювелір,селище Чигирин,"проспект Матеріальний 1-й, буд. 593, Златопіль, 05620",028 42 97,hukihor@example.org
Нестеренко,Василина,Максимівна,Жіноча,24-03-2000,Паблік рилейшнз,місто Ужгород,"набережна Економічний, буд. 74, Пирятин, 13885",+380 36 604 42 33,izhakoksana@example.net
Абраменко,Анжела,Семенівна,Жіноча,16-08-1962,Фрілансер,хутір Остер,"шосе Трамвайний, буд. 092, Рава-Руська, 19068",655-75-23,averchenkoiefrem@example.org
Артеменко,Алевтин,Романович,Чоловіча,23-12-1991,Слідчий,село Тиврів,"сквер Заводська 4-та, буд. 661 кв. 3, Белз, 63562",+380 35 233 73 37,viaremchuk@example.net
Яремчук,Антон,Володимирович,Чоловіча,19-10-1969,Мікробіолог,хутір Докучаєвськ,"узвіз Лінія 52-га, буд. 8, Зимогір'я, 68934",081 621-05-28,oleh56@example.com
Івасюк,Геннадій,Максимович,Чоловіча,03-09-1988,Фізик,селище Ходорів,"проспект Олександра Ройтбурда, буд. 0, Сіверськодонецьк, 81220",067 787 72 41,iaroslava33@example.com
Дейнека,Яків,Євгенович,Чоловіча,13-10-1945,Акушер,селище Вишгород,"вулиця Шептицького, буд. 94 кв. 0, Сновськ, 92802",+380 (96) 484-20-19,zabashtavasyl@example.org
Гайдай,Камілла,Ігорівна,Жіноча,29-06-2003,Кухар,село Гадяч,"сквер Путівна, буд. 811, Вилкове, 40035",+380 (98) 716-91-11,khmarakhoma@example.org
Дергач,Панас,Ігорович,Чоловіча,15-06-2008,Перекладач,селище Деражня,"набережна Оранжерейний, буд. 966, Чуднів, 58042",010 994-05-40,yshelest@example.com
Вакарчук,Леон,Іванович,Чоловіча,28-08-1964,Мистецтвознавець,село Костянтинівка,"сквер Райдужна, буд. 21, Кипуче, 62267",015 244-12-02,oleh50@example.net
Габелко,Еріка,Романівна,Жіноча,19-07-1969,Науковець,село Кремінна,"сквер Бориса Дерев'янка, буд. 150 кв. 06, Дубляни, 97763",060 143-71-63,ostap75@example.com
Лесик,Онисим,Іванович,Чоловіча,06-05-1960,Медик,село Помічна,"площа В'ячеслава Липинського, буд. 741 кв. 1, Кодима, 81344",357 84 42,violetta93@example.com
Гук,Альберт,Ігорович,Чоловіча,08-07-1994,Ді-джей,селище Володимир-Волинський,"парк Луцька, буд. 69, Теплодар, 67911",+380 87 934-06-61,kmasokha@example.org
Цимбалюк,Оксана,Дмитрівна,Жіноча,06-07-2006,Локсмайстер,селище Славутич,"парк Деревообробний 2-й, буд. 39, Виноградів, 14783",+380 (97) 017-26-36,thavrylenko@example.com
Гуцуляк,Мілена,Григорівна,Жіноча,25-12-1973,Кінолог,селище Переяслав,"узвіз Джерельна, буд. 1, Шахтарське, 46091",+380 69 363 44 72,zhadanzorian@example.com
Батюк,Ярема,Петрович,Чоловіча,15-07-1959,Клоун,місто Слов'янськ,"шосе Лінія 48-ма, буд. 87 кв. 762, Тетіїв, 02283",099 793-55-21,jhavriushenko@example.org
Журба,Маруся,Сергіївна,Жіноча,04-11-1961,Футболіст,хутір Бориспіль,"шосе Шилова, буд. 874 кв. 11, Рожище, 64723",+380 55 500 53 63,hunkohanna@example.org
Швачка,Богдан,Борисович,Чоловіча,06-11-1989,Дерун,хутір Косів,"набережна Заможна, буд. 80, Миколаївка, 09306",+380 90 193-41-34,jsyrotenko@example.com
Ґоляш,Нестор,Олександрович,Чоловіча,12-04-1995,Дантист,місто Борзна,"вулиця Патріотична, буд. 86, Болехів, 15352",554-35-43,lukian02@example.com
